ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
232,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
233,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
234,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
235,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
236,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
237,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
238,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
239,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
240,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
241,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
242,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
243,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
244,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
245,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
246,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
247,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
248,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
249,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
250,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
251,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
252,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
253,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
254,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
255,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
256,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
257,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
258,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
259,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
260,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
261,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
262,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
263,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
264,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
265,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
266,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
267,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
268,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
269,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
270,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
