ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
232,VUNESP,PC-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para PC-SP, é correto:","Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF é direito fundamental de segunda dimensão.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
233,VUNESP,GCM-SP,Direito Constitucional,Direitos fundamentais,"Quanto a Direitos fundamentais, no âmbito da segurança pública, assinale:",Direitos fundamentais não admite intervenção estatal.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais é de competência exclusiva da União legislar.,C,Gabarito C. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
234,FGV,PC-SP,Direito Constitucional,Direitos fundamentais,"Conforme art. 5º e Direitos fundamentais, para PC-SP, é correto:",Direitos fundamentais é direito fundamental de segunda dimensão.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais depende de lei complementar para eficácia.,B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
235,VUNESP,PC-SP,Direito Constitucional,Segurança pública,"Sobre Segurança pública na CF/88, assinale a alternativa correta:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública não admite intervenção estatal.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
236,VUNESP,PM-SP,Direito Constitucional,Remédios constitucionais,"Quanto a Remédios constitucionais, no âmbito da segurança pública, assinale:",Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais é de competência exclusiva da União legislar.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais não admite intervenção estatal.,B,Gabarito B. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
237,VUNESP,PC-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:",Poderes é direito fundamental de segunda dimensão.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes é de competência exclusiva da União legislar.,Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,B,Gabarito B. Poderes em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
238,VUNESP,PC-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:","Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes é direito fundamental de segunda dimensão.,Poderes depende de lei complementar para eficácia.,Poderes é de competência exclusiva da União legislar.,Poderes não admite intervenção estatal.,A,Gabarito A. Poderes em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
239,VUNESP,GCM-SP,Direito Constitucional,Segurança pública,"Quanto a Segurança pública, no âmbito da segurança pública, assinale:",Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública não admite intervenção estatal.,Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,A,Gabarito A. Segurança pública em Direito Constitucional: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
240,FGV,PC-SP,Direito Constitucional,Segurança pública,"Sobre Segurança pública na CF/88, assinale a alternativa correta:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública não admite intervenção estatal.,Segurança pública é de competência exclusiva da União legislar.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública depende de lei complementar para eficácia.,B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca FGV para PC-SP. Entendimento pacificado nos tribunais superiores.
241,VUNESP,GCM-SP,Direito Constitucional,Segurança pública,"Quanto a Segurança pública, no âmbito da segurança pública, assinale:",Segurança pública não admite intervenção estatal.,Segurança pública é direito fundamental de segunda dimensão.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública é de competência exclusiva da União legislar.,Segurança pública depende de lei complementar para eficácia.,B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
242,VUNESP,PM-SP,Direito Constitucional,Direitos fundamentais,"Sobre Direitos fundamentais na CF/88, assinale a alternativa correta:",Direitos fundamentais depende de lei complementar para eficácia.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais é direito fundamental de segunda dimensão.,B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
243,FGV,PM-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:",Poderes é direito fundamental de segunda dimensão.,Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é de competência exclusiva da União legislar.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",C,Gabarito C. Poderes em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
244,FGV,PC-SP,Direito Constitucional,Poderes,"Em Poderes, conforme Constituição Federal, é correto afirmar que:",Poderes é de competência exclusiva da União legislar.,Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é direito fundamental de segunda dimensão.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",C,Gabarito C. Poderes em Direito Constitucional: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
245,VUNESP,GCM-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:","Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes não admite intervenção estatal.,Poderes é direito fundamental de segunda dimensão.,Poderes depende de lei complementar para eficácia.,Poderes é de competência exclusiva da União legislar.,B,Gabarito B. Poderes em Direito Constitucional: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
246,FGV,PM-SP,Direito Constitucional,Remédios constitucionais,"Conforme art. 5º e Remédios constitucionais, para PM-SP, é correto:",Remédios constitucionais é de competência exclusiva da União legislar.,Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais não admite intervenção estatal.,Remédios constitucionais é direito fundamental de segunda dimensão.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",C,Gabarito C. Remédios constitucionais em Direito Constitucional: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
247,VUNESP,PC-SP,Direito Constitucional,Direitos fundamentais,"Em Direitos fundamentais, conforme Constituição Federal, é correto afirmar que:",Direitos fundamentais não admite intervenção estatal.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais depende de lei complementar para eficácia.,C,Gabarito C. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
248,FGV,PM-SP,Direito Constitucional,Organização do Estado,"Conforme art. 5º e Organização do Estado, para PM-SP, é correto:",Organização do Estado não admite intervenção estatal.,Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado é de competência exclusiva da União legislar.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado depende de lei complementar para eficácia.,C,Gabarito C. Organização do Estado em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
249,FGV,PM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública depende de lei complementar para eficácia.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública é direito fundamental de segunda dimensão.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública não admite intervenção estatal.,C,Gabarito C. Segurança pública em Direito Constitucional: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
250,FGV,PM-SP,Direito Constitucional,Remédios constitucionais,"Conforme art. 5º e Remédios constitucionais, para PM-SP, é correto:",Remédios constitucionais não admite intervenção estatal.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais é de competência exclusiva da União legislar.,A,Gabarito A. Remédios constitucionais em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
251,VUNESP,PC-SP,Direito Constitucional,Remédios constitucionais,"Em Remédios constitucionais, conforme Constituição Federal, é correto afirmar que:",Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais é de competência exclusiva da União legislar.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais não admite intervenção estatal.,Remédios constitucionais é direito fundamental de segunda dimensão.,B,Gabarito B. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
252,FGV,GCM-SP,Direito Constitucional,Organização do Estado,"Sobre Organização do Estado na CF/88, assinale a alternativa correta:","Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado não admite intervenção estatal.,Organização do Estado depende de lei complementar para eficácia.,Organização do Estado é de competência exclusiva da União legislar.,C,Gabarito C. Organização do Estado em Direito Constitucional: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
253,FGV,PM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública não admite intervenção estatal.,B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
